,kind,title,htmlTitle,link,displayLink,snippet,htmlSnippet,formattedUrl,htmlFormattedUrl,pagemap.metatags,pagemap.cse_thumbnail,pagemap.cse_image,mime,fileFormat
11,customsearch#result,Bộ Tài chính - Kho bạc Nhà nước Trung ương thông báo danh sách ...,Bộ Tài chính - Kho bạc Nhà nước Trung ương thông báo danh sách ...,http://mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?dDocName=MOFUCM317986,mof.gov.vn,"... dụng ngoại ngữ, tin học tại kỳ xét tuyển viên chức năm 2024 ... Bộ Tài chính - Tổng cục Dự trữ NN thông báo tuyển dụng công chức Tổng cục Dự trữ Nhà nước năm 2024 ...","... dụng ngoại ngữ, tin học tại kỳ xét tuyển viên chức năm <b>2024</b> ... Bộ Tài chính - Tổng cục Dự trữ NN thông báo <b>tuyển dụng</b> công chức Tổng cục Dự trữ Nhà nước năm <b>2024</b>&nbsp;...",http://mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?...,http://mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
12,customsearch#result,Bộ Tài chính Thông báo Kế hoạch xét tuyển dụng viên chức Viện ...,Bộ Tài chính Thông báo Kế hoạch xét <b>tuyển dụng</b> viên chức Viện ...,https://www.mof.gov.vn/webcenter/portal/vclvcstc/pages_r/l/chi-tiet-tin?dDocName=MOFUCM307178&dID=311951,www.mof.gov.vn,Bộ Tài chính Thông báo Kế hoạch xét tuyển dụng viên chức Viện Chiến lược và Chính sách tài chính năm 2024 29/03/2024 16:36:00 414. Cỡ chữ:A- A+.,Bộ Tài chính Thông báo Kế hoạch xét <b>tuyển dụng</b> viên chức Viện Chiến lược và Chính sách tài chính năm <b>2024</b> 29/03/<b>2024</b> 16:36:00 414. Cỡ chữ:A- A+.,https://www.mof.gov.vn/webcenter/portal/vclvcstc/pages.../chi-tiet-tin?...,https://www.mof.gov.vn/webcenter/portal/vclvcstc/pages.../chi-tiet-tin?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
13,customsearch#result,Bộ Tài chính - Kho bạc Nhà nước thông báo tuyển dụng công chức ...,Bộ Tài chính - Kho bạc Nhà nước thông báo <b>tuyển dụng</b> công chức ...,http://mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?dDocName=MOFUCM257038,mof.gov.vn,4. Huong dan ghi phieu dang ky thi tuyen.doc · 3. Mau phieu dang ky thi tuyen.doc · 2. Phu luc 1 chi tieu tuyen dung cong chuc nghiep vu 2022.pdf ...,4. Huong dan ghi phieu dang ky thi tuyen.doc &middot; 3. Mau phieu dang ky thi tuyen.doc &middot; 2. Phu luc 1 chi tieu tuyen dung cong chuc nghiep vu 2022.pdf&nbsp;...,http://mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?...,http://mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
14,customsearch#result,Cổng TTĐT Kho Bạc Nhà Nước VN,Cổng TTĐT Kho Bạc Nhà Nước VN,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?dDocName=KBNN216618,vst.mof.gov.vn,KBNN Cao Bằng thông báo tuyển dụng HĐLĐ NĐ 111 năm 2024. 10/06/2024 11:00:34 Cỡ chữ:A-A+ Tương phản:Giảm Tăng. In bài. Thumbnails Document Outline,KBNN Cao Bằng thông báo <b>tuyển dụng</b> HĐLĐ NĐ 111 năm <b>2024</b>. 10/06/<b>2024</b> 11:00:34 Cỡ chữ:A-A+ Tương phản:Giảm Tăng. In bài. Thumbnails Document Outline,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?...,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?...,[{'og:url': 'http://vst.mof.gov.vn:80/webcenter/portal/kbnn/r/l/cm21001?dDocName=KBNN216618&dID=228921'}],,,,
15,customsearch#result,Cổng TTĐT Kho Bạc Nhà Nước VN,Cổng TTĐT Kho Bạc Nhà Nước VN,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?dDocName=KBNN215194,vst.mof.gov.vn,Kho bạc Nhà nước Sơn La thông báo tuyển lao động hợp đồng năm 2024. 19/03/2024 16:40:30 Cỡ chữ:A-A+ Tương phản:Giảm Tăng.,Kho bạc Nhà nước Sơn La thông báo <b>tuyển</b> lao động hợp đồng năm <b>2024</b>. 19/03/<b>2024</b> 16:40:30 Cỡ chữ:A-A+ Tương phản:Giảm Tăng.,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?...,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?...,[{'og:url': 'http://vst.mof.gov.vn:80/webcenter/portal/kbnn/r/l/cm21001?dDocName=KBNN215194&dID=226329'}],,,,
16,customsearch#result,Cổng TTĐT Kho Bạc Nhà Nước VN,Cổng TTĐT Kho Bạc Nhà Nước VN,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?dDocName=KBNN215592&dID=227125,vst.mof.gov.vn,KBNN Tuyên Quang thông báo kết quả xét tuyển và danh sách thí sinh trúng xét tuyển lao động hợp đồng. 09/04/2024 15:31:00 Cỡ chữ:A-A+ Tương phản:Giảm Tăng.,KBNN Tuyên Quang thông báo kết quả xét <b>tuyển</b> và danh sách thí sinh trúng xét <b>tuyển</b> lao động hợp đồng. 09/04/<b>2024</b> 15:31:00 Cỡ chữ:A-A+ Tương phản:Giảm Tăng.,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?...dID...,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?...dID...,[{'og:url': 'http://vst.mof.gov.vn:80/webcenter/portal/kbnn/r/l/cm21001?dDocName=KBNN215592&dID=227125'}],,,,
17,customsearch#result,Tin bộ tài chính,Tin bộ tài chính,http://portal.mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?dDocName=MOFUCM321149,portal.mof.gov.vn,"Hội đồng tuyển dụng viên chức Viện Chiến lược và Chính sách tài chính năm 2024 thông báo kết quả thi Vòng 2 và danh sách trúng tuyển, Kỳ tuyển dụng viên ...","Hội đồng <b>tuyển dụng</b> viên chức Viện Chiến lược và Chính sách tài chính năm <b>2024</b> thông báo kết quả thi Vòng 2 và danh sách trúng tuyển, Kỳ <b>tuyển dụng</b> viên&nbsp;...",http://portal.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,http://portal.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
18,customsearch#result,"Bộ Tài chính thông báo số báo danh, phòng thi, ca thi, sơ dồ khu ...","Bộ Tài chính thông báo số báo danh, phòng thi, ca thi, sơ dồ khu ...",http://www.mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?dDocName=MOFUCM319856,www.mof.gov.vn,"Bộ Tài chính thông báo số báo danh, phòng thi, ca thi, sơ dồ khu vực khai mạc, tổ chức thi Vòng 1, Kỳ tuyển dụng công chức Cơ quan Bộ Tài chính năm 2024 ...","Bộ Tài chính thông báo số báo danh, phòng thi, ca thi, sơ dồ khu vực khai mạc, tổ chức thi Vòng 1, Kỳ <b>tuyển dụng</b> công chức Cơ quan Bộ Tài chính năm <b>2024</b>&nbsp;...",http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
19,customsearch#result,Thông báo tuyển dụng công chức UBCKNN năm 2024,Thông báo <b>tuyển dụng</b> công chức UBCKNN năm <b>2024</b>,https://m-portal.mof.gov.vn/webcenter/ShowProperty?nodeId=/UCM12/MOFUCM303999//idcPrimaryFile&revision=latestreleased&rid=1,m-portal.mof.gov.vn,"chi tiết chỉ tiêu tuyển dụng công chức ứng với từng vị trí việc làm theo Phụ lục số. 01 đính kèm). II. ĐIỀU KIỆN, TIÊU CHUẨN ĐĂNG KÝ DỰ TUYỂN:.","chi tiết chỉ tiêu <b>tuyển dụng</b> công chức ứng với từng vị trí việc làm theo Phụ lục số. 01 đính kèm). II. ĐIỀU KIỆN, TIÊU CHUẨN ĐĂNG KÝ DỰ TUYỂN:.",https://m-portal.mof.gov.vn/webcenter/ShowProperty?nodeId=/...,https://m-portal.mof.gov.vn/webcenter/ShowProperty?nodeId=/...,"[{'moddate': ""20240227174915+07'00''"", 'creator': 'Scanner System', 'creationdate': ""20240227174915+07'00''"", 'producer': 'Scanner System Image Conversion'}]",,,application/pdf,PDF/Adobe Acrobat
20,customsearch#result,Hoạt động kỷ niệm - Ủy ban Chứng khoán Nhà nước,Hoạt động kỷ niệm - Ủy ban Chứng khoán Nhà nước,https://ssc.mof.gov.vn/webcenter/portal/ubck/pages_r/m/tintc-skin/hotngknim,ssc.mof.gov.vn,"Sáng ngày 29/7/2024, tại trụ sở, Ủy ban Chứng khoán Nhà nước (UBCKNN) tổ chức Lễ trao Quyết định tuyển dụng công chức UBCKNN năm 2024.","Sáng ngày 29/7/<b>2024</b>, tại trụ sở, Ủy ban Chứng khoán Nhà nước (UBCKNN) tổ chức Lễ trao Quyết định <b>tuyển dụng</b> công chức UBCKNN năm <b>2024</b>.",https://ssc.mof.gov.vn/webcenter/portal/ubck/pages_r/m/.../hotngknim,https://ssc.mof.gov.vn/webcenter/portal/ubck/pages_r/m/.../hotngknim,"[{'og:image': 'https://ssc.gov.vn/webcenter/oracle/webcenter/siteresources/scopedMD/shared/img/UBCK/no.png', 'og:type': 'article', 'og:image:width': '600', 'twitter:card': 'summary_large_image', 'og:site_name': 'ssc.gov.vn', 'author': 'ssc.gov.vn', 'og:title': 'CỔNG THÔNG TIN ĐIỆN TỬ - ỦY BAN CHỨNG KHOÁN NHÀ NƯỚC', 'og:image:height': '315', 'rating': 'GENERAL', 'site_path': 'https://ssc.gov.vn.vn', 'og:image:type': 'image/jpg', 'distribution': 'Global', 'og:description': 'CỔNG THÔNG TIN ĐIỆN TỬ - ỦY BAN CHỨNG KHOÁN NHÀ NƯỚC - Thông tin chứng khoán của Việt Nam mới nhất được cập nhật liên tục, chính xác và đầy đủ,chuyên sâu', 'twitter:image': 'https://ssc.gov.vn/webcenter/oracle/webcenter/siteresources/scopedMD/shared/img/UBCK/no.png', 'news_keywords': 'kinh tế,tài chính,chứng khoán,vnindex,hnx-index,upcom,hose,cập nhật,thông tin,chính xác,liên tục', 'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes', 'og:url': 'https://ssc.gov.vn/'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHzu1mQ2TPC_hCPPw2bpk-45ib7CpSTpTxS4RIEFzuNTwizP3aeE-HopS0&s', 'width': '193', 'height': '261'}]",[{'src': 'https://ssc.gov.vn/webcenter/oracle/webcenter/siteresources/scopedMD/shared/img/UBCK/no.png'}],,
21,customsearch#result,Cổng TTĐT Kho Bạc Nhà Nước VN,Cổng TTĐT Kho Bạc Nhà Nước VN,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?dDocName=KBNN215386&dID=226919,vst.mof.gov.vn,KBNN Sóc Trăng thông báo về việc xét tuyển hợp đồng lao động. 29/03/2024 08:55:28 Cỡ chữ:A-A+ Tương phản:Giảm Tăng. In bài. Thumbnails Document Outline,KBNN Sóc Trăng thông báo về việc xét <b>tuyển</b> hợp đồng lao động. 29/03/<b>2024</b> 08:55:28 Cỡ chữ:A-A+ Tương phản:Giảm Tăng. In bài. Thumbnails Document Outline,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?...dID...,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?...dID...,[{'og:url': 'http://vst.mof.gov.vn:80/webcenter/portal/kbnn/r/l/cm21001?dDocName=KBNN215386&dID=226919'}],,,,
22,customsearch#result,Tin bộ tài chính,Tin bộ tài chính,http://www.mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?dDocName=MOFUCM321124,www.mof.gov.vn,"Bộ Tài chính thông báo chi tiết lịch thi Vòng 2, Kỳ tuyển dụng công chức Cơ quan Bộ Tài chính năm 2024 18/07/2024 17:30:00 2173. Cỡ chữ:A- A+. Đọc báo.","Bộ Tài chính thông báo chi tiết lịch thi Vòng 2, Kỳ <b>tuyển dụng</b> công chức Cơ quan Bộ Tài chính năm <b>2024</b> 18/07/<b>2024</b> 17:30:00 2173. Cỡ chữ:A- A+. Đọc báo.",http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
23,customsearch#result,Bộ Tài chính - Ủy ban Chứng khoán NN thông báo quyết định phê ...,Bộ Tài chính - Ủy ban Chứng khoán NN thông báo quyết định phê ...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?dDocName=MOFUCM316212,www.mof.gov.vn,Các tin khác · Bộ Tài chính - Ủy ban Chứng khoán NN thông báo hủy kết quả trúng tuyển Kỳ thi tuyển dụng viên chức UBCKNN năm 2023 (10/06/2024 14:24) · Bộ Tài ...,Các tin khác &middot; Bộ Tài chính - Ủy ban Chứng khoán NN thông báo hủy kết quả trúng tuyển Kỳ thi <b>tuyển dụng</b> viên chức UBCKNN năm 2023 (10/06/<b>2024</b> 14:24) &middot; Bộ Tài&nbsp;...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
24,customsearch#result,Tin bộ tài chính,Tin bộ tài chính,https://portal.mof.gov.vn/webcenter/portal/TVBTC/pages_r/l/tin-bo-tai-chinh?dDocName=MOFUCM318863,portal.mof.gov.vn,... tuyển dụng viên chức Viện CLCSTC năm 2024. 02/07/2024 09:52:00. Thumbnails Document Outline Attachments. Find: Previous. Next. Highlight all. Match case.,... <b>tuyển dụng</b> viên chức Viện CLCSTC năm <b>2024</b>. 02/07/<b>2024</b> 09:52:00. Thumbnails Document Outline Attachments. Find: Previous. Next. Highlight all. Match case.,https://portal.mof.gov.vn/webcenter/portal/TVBTC/...r/.../tin-bo-tai-chinh?...,https://portal.mof.gov.vn/webcenter/portal/TVBTC/...r/.../tin-bo-tai-chinh?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
